자사, 73, 160
차아, 71, 160
사마, 90, 174
가다, 45, 161
타나, 76, 183
아사, 88, 182
바하, 55, 169
마카, 46, 158
마라, 79, 160
가다, 41, 187
파사, 68, 162
차하, 59, 167
아사, 69, 173
아사, 60, 173
라다, 51, 142
사가, 53, 186
라나, 54, 172
마사, 62, 164
사타, 89, 147
아마, 72, 183
차차, 65, 158
라마, 50, 188
타차, 54, 149
차사, 93, 155
사자, 63, 185
카파, 63, 182
하가, 44, 178
하가, 90, 159
카하, 74, 146
아사, 61, 159
타자, 93, 154
아나, 77, 185
파자, 58, 140
하마, 75, 171
자라, 75, 148
가카, 48, 161
타자, 98, 158
파타, 75, 147
하파, 49, 145
타나, 92, 177
타차, 77, 185
자바, 74, 188
마라, 89, 152
사라, 50, 163
파차, 83, 167
마카, 50, 168
나다, 97, 188
나라, 72, 170
라차, 50, 171
사바, 40, 153
나아, 78, 142
아마, 95, 172
차라, 96, 172
사차, 49, 178
카자, 63, 168
파라, 94, 161
자차, 97, 140
라카, 87, 162
바라, 58, 188
가파, 90, 179
나파, 51, 166
아사, 59, 162
카마, 62, 174
나카, 53, 175
아나, 89, 158
나나, 56, 189
아카, 73, 153
가타, 65, 179
다다, 68, 147
카다, 67, 154
라가, 50, 180
타가, 81, 151
타가, 74, 151
사바, 94, 153
나나, 41, 149
자카, 94, 174
바라, 90, 155
카바, 64, 169
차라, 92, 150
카라, 62, 174
하하, 65, 170
차마, 57, 166
타타, 62, 157
라자, 69, 178
하카, 68, 152
파다, 45, 159
하라, 45, 145
자파, 78, 179
카아, 55, 169
아사, 65, 143
자하, 50, 170
타파, 96, 150
사타, 43, 181
차타, 82, 172
타바, 83, 151
마바, 98, 185
사나, 73, 148
라하, 88, 184
다차, 48, 150
카타, 81, 189
다마, 79, 152
바타, 94, 166
사자, 56, 154
하라, 99, 187
하타, 40, 159
바가, 63, 154
카바, 82, 168
가나, 57, 156
나하, 93, 162
파아, 69, 162
카라, 50, 182
아나, 76, 157
나하, 51, 166
사바, 76, 147
아차, 99, 142
가아, 63, 172
마카, 83, 144
가자, 77, 150
나자, 88, 166
라가, 91, 175
마아, 84, 172
마라, 78, 171
가마, 57, 154
마하, 60, 148
자나, 85, 182
다바, 69, 183
아차, 91, 156
하사, 98, 156
타다, 49, 141
사파, 77, 167
하라, 58, 181
차카, 49, 151
마나, 77, 161
사라, 48, 165
나가, 94, 177
바타, 68, 156
마아, 46, 140
카파, 75, 189
카마, 49, 170
하카, 98, 143
차라, 71, 167
가하, 95, 173
타하, 61, 167
마아, 85, 183
바차, 60, 164
카아, 62, 187
자가, 72, 189
차자, 94, 168
사파, 79, 163
바라, 48, 175
가아, 49, 141
카다, 72, 174
마사, 50, 154
아차, 92, 144
카사, 62, 170
카하, 79, 189
파파, 73, 162
하라, 83, 168
타카, 95, 176
마바, 85, 154
아파, 79, 164
차하, 69, 162
가차, 41, 183
아하, 53, 150
바마, 51, 181
파나, 71, 187
아사, 67, 160
바나, 44, 159
하하, 56, 184
나바, 71, 185
가마, 94, 162
가자, 58, 179
나파, 41, 181
차바, 94, 167
가사, 41, 178
타하, 54, 179
카차, 49, 151
타나, 89, 184
카사, 61, 163
파마, 87, 142
바아, 41, 149
파자, 71, 149
자사, 63, 185
아사, 86, 156
파파, 42, 146
마가, 86, 150
라사, 94, 172
바파, 81, 178
차아, 95, 186
가마, 77, 183
카다, 89, 186
사바, 86, 172
자다, 96, 189
나라, 46, 164
자파, 81, 178
하자, 65, 174
가사, 86, 175
바하, 60, 156
다마, 51, 162
하바, 72, 142
자나, 88, 174
바마, 90, 155
하가, 91, 186
나하, 54, 159
차카, 90, 158
타사, 63, 184
다카, 44, 140
차라, 64, 148
마라, 68, 188
타사, 48, 149
사아, 51, 185
라타, 57, 177
파타, 95, 179
마차, 97, 160
카하, 74, 179
나바, 82, 146
카마, 62, 163
라사, 42, 175
바다, 92, 159
나마, 60, 143
아차, 90, 179
나다, 73, 151
아타, 54, 189
나라, 82, 145
파바, 41, 154
아하, 87, 163
아나, 83, 161
타타, 96, 180
다다, 78, 148
카라, 83, 179
차나, 83, 186
나카, 41, 146
다마, 62, 146
타자, 81, 145
사바, 59, 183
가가, 55, 154
하바, 74, 165
카카, 86, 181
자바, 92, 144
차다, 91, 141
자사, 65, 167
파타, 98, 178
타바, 53, 172
바파, 79, 140
사파, 95, 149
가사, 86, 183
카나, 90, 172
차하, 83, 165
사카, 58, 149
라다, 94, 145
하라, 70, 184
가아, 59, 183
카가, 52, 162
자파, 89, 189
라라, 93, 143
아차, 62, 179
다바, 98, 151
바차, 93, 157
아가, 48, 144
사하, 84, 187
하사, 41, 182
카자, 95, 141
파파, 72, 164
차사, 87, 189
마라, 59, 170
아아, 94, 185
가하, 66, 186
사하, 70, 180
타하, 88, 149
아다, 77, 142
바사, 60, 140
하라, 48, 171
라가, 84, 173
가마, 88, 152
자바, 80, 172
하타, 87, 175
가카, 82, 173
사마, 42, 154
파파, 99, 148
다자, 70, 171
마마, 87, 144
라자, 85, 173
카바, 47, 178
다하, 97, 175
카차, 66, 153
하아, 47, 182
바하, 93, 156
아마, 63, 158
나파, 87, 183
타자, 73, 187
파마, 73, 189
타라, 66, 146
아자, 95, 166
다바, 93, 167
나타, 44, 156
파마, 44, 147
파카, 78, 177
다자, 77, 168
아파, 49, 143
마카, 78, 183
마사, 42, 173
차파, 95, 170
차마, 40, 180
라마, 40, 164
사타, 61, 173
마사, 55, 148
차아, 89, 160
하파, 68, 174
카파, 58, 150
바마, 42, 141
사아, 63, 170
